SalesOrderID,OrderDate,DueDate,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID
43735,2011-06-09 00:00:00,2011-06-21 00:00:00,SO43735,,10-4030-016522,16522
43736,2011-06-09 00:00:00,2011-06-21 00:00:00,SO43736,,10-4030-011002,11002
43737,2011-06-10 00:00:00,2011-06-22 00:00:00,SO43737,,10-4030-013261,13261
43738,2011-06-10 00:00:00,2011-06-22 00:00:00,SO43738,,10-4030-011606,11606
43739,2011-06-10 00:00:00,2011-06-22 00:00:00,SO43739,,10-4030-013563,13563
43740,2011-06-10 00:00:00,2011-06-22 00:00:00,SO43740,,10-4030-016527,16527
43741,2011-06-11 00:00:00,2011-06-23 00:00:00,SO43741,,10-4030-027671,27671
43742,2011-06-11 00:00:00,2011-06-23 00:00:00,SO43742,,10-4030-013576,13576
43743,2011-06-11 00:00:00,2011-06-23 00:00:00,SO43743,,10-4030-011007,11007
43744,2011-06-11 00:00:00,2011-06-23 00:00:00,SO43744,,10-4030-016631,16631
43745,2011-06-12 00:00:00,2011-06-24 00:00:00,SO43745,,10-4030-016514,16514
43746,2011-06-12 00:00:00,2011-06-24 00:00:00,SO43746,,10-4030-016616,16616
43747,2011-06-13 00:00:00,2011-06-25 00:00:00,SO43747,,10-4030-027623,27623
43748,2011-06-13 00:00:00,2011-06-25 00:00:00,SO43748,,10-4030-027625,27625
43749,2011-06-13 00:00:00,2011-06-25 00:00:00,SO43749,,10-4030-027636,27636
43750,2011-06-13 00:00:00,2011-06-25 00:00:00,SO43750,,10-4030-011591,11591
43751,2011-06-13 00:00:00,2011-06-25 00:00:00,SO43751,,10-4030-011592,11592
43752,2011-06-13 00:00:00,2011-06-25 00:00:00,SO43752,,10-4030-013265,13265
43753,2011-06-13 00:00:00,2011-06-25 00:00:00,SO43753,,10-4030-016482,16482
43754,2011-06-14 00:00:00,2011-06-26 00:00:00,SO43754,,10-4030-027617,27617
43755,2011-06-14 00:00:00,2011-06-26 00:00:00,SO43755,,10-4030-027670,27670
43756,2011-06-14 00:00:00,2011-06-26 00:00:00,SO43756,,10-4030-019941,19941
43757,2011-06-14 00:00:00,2011-06-26 00:00:00,SO43757,,10-4030-011017,11017
43758,2011-06-15 00:00:00,2011-06-27 00:00:00,SO43758,,10-4030-027646,27646
43759,2011-06-15 00:00:00,2011-06-27 00:00:00,SO43759,,10-4030-013257,13257
43760,2011-06-15 00:00:00,2011-06-27 00:00:00,SO43760,,10-4030-016352,16352
43761,2011-06-15 00:00:00,2011-06-27 00:00:00,SO43761,,10-4030-016493,16493
43762,2011-06-16 00:00:00,2011-06-28 00:00:00,SO43762,,10-4030-027578,27578
43763,2011-06-16 00:00:00,2011-06-28 00:00:00,SO43763,,10-4030-016525,16525
43764,2011-06-16 00:00:00,2011-06-28 00:00:00,SO43764,,10-4030-016612,16612
43765,2011-06-16 00:00:00,2011-06-28 00:00:00,SO43765,,10-4030-011010,11010
43766,2011-06-17 00:00:00,2011-06-29 00:00:00,SO43766,,10-4030-016518,16518
43767,2011-06-17 00:00:00,2011-06-29 00:00:00,SO43767,,10-4030-011001,11001
43768,2011-06-18 00:00:00,2011-06-30 00:00:00,SO43768,,10-4030-027649,27649
43769,2011-06-18 00:00:00,2011-06-30 00:00:00,SO43769,,10-4030-021659,21659
43770,2011-06-18 00:00:00,2011-06-30 00:00:00,SO43770,,10-4030-027614,27614
43771,2011-06-18 00:00:00,2011-06-30 00:00:00,SO43771,,10-4030-014559,14559
43772,2011-06-18 00:00:00,2011-06-30 00:00:00,SO43772,,10-4030-016524,16524
43773,2011-06-18 00:00:00,2011-06-30 00:00:00,SO43773,,10-4030-016526,16526
43774,2011-06-18 00:00:00,2011-06-30 00:00:00,SO43774,,10-4030-016348,16348
43775,2011-06-18 00:00:00,2011-06-30 00:00:00,SO43775,,10-4030-011027,11027
43776,2011-06-19 00:00:00,2011-07-01 00:00:00,SO43776,,10-4030-013260,13260
43777,2011-06-19 00:00:00,2011-07-01 00:00:00,SO43777,,10-4030-016515,16515
43778,2011-06-19 00:00:00,2011-07-01 00:00:00,SO43778,,10-4030-011018,11018
43779,2011-06-19 00:00:00,2011-07-01 00:00:00,SO43779,,10-4030-025252,25252
43780,2011-06-20 00:00:00,2011-07-02 00:00:00,SO43780,,10-4030-011599,11599
43781,2011-06-20 00:00:00,2011-07-02 00:00:00,SO43781,,10-4030-016495,16495
43782,2011-06-20 00:00:00,2011-07-02 00:00:00,SO43782,,10-4030-016516,16516
43783,2011-06-20 00:00:00,2011-07-02 00:00:00,SO43783,,10-4030-016620,16620
43784,2011-06-21 00:00:00,2011-07-03 00:00:00,SO43784,,10-4030-027667,27667
43785,2011-06-21 00:00:00,2011-07-03 00:00:00,SO43785,,10-4030-011601,11601
43786,2011-06-21 00:00:00,2011-07-03 00:00:00,SO43786,,10-4030-011607,11607
43787,2011-06-21 00:00:00,2011-07-03 00:00:00,SO43787,,10-4030-029385,29385
43788,2011-06-21 00:00:00,2011-07-03 00:00:00,SO43788,,10-4030-011239,11239
43789,2011-06-21 00:00:00,2011-07-03 00:00:00,SO43789,,10-4030-025865,25865
43790,2011-06-21 00:00:00,2011-07-03 00:00:00,SO43790,,10-4030-025857,25857
43791,2011-06-21 00:00:00,2011-07-03 00:00:00,SO43791,,10-4030-016484,16484
43792,2011-06-21 00:00:00,2011-07-03 00:00:00,SO43792,,10-4030-016623,16623
43793,2011-06-21 00:00:00,2011-07-03 00:00:00,SO43793,,10-4030-011000,11000
43794,2011-06-21 00:00:00,2011-07-03 00:00:00,SO43794,,10-4030-011029,11029
43795,2011-06-22 00:00:00,2011-07-04 00:00:00,SO43795,,10-4030-027615,27615
43796,2011-06-22 00:00:00,2011-07-04 00:00:00,SO43796,,10-4030-017956,17956
43797,2011-06-22 00:00:00,2011-07-04 00:00:00,SO43797,,10-4030-016345,16345
43798,2011-06-22 00:00:00,2011-07-04 00:00:00,SO43798,,10-4030-016521,16521
43799,2011-06-22 00:00:00,2011-07-04 00:00:00,SO43799,,10-4030-016636,16636
43800,2011-06-23 00:00:00,2011-07-05 00:00:00,SO43800,,10-4030-021710,21710
43801,2011-06-23 00:00:00,2011-07-05 00:00:00,SO43801,,10-4030-013583,13583
43802,2011-06-23 00:00:00,2011-07-05 00:00:00,SO43802,,10-4030-011593,11593
43803,2011-06-24 00:00:00,2011-07-06 00:00:00,SO43803,,10-4030-021741,21741
43804,2011-06-24 00:00:00,2011-07-06 00:00:00,SO43804,,10-4030-013585,13585
43805,2011-06-24 00:00:00,2011-07-06 00:00:00,SO43805,,10-4030-014510,14510
43806,2011-06-24 00:00:00,2011-07-06 00:00:00,SO43806,,10-4030-016523,16523
43807,2011-06-25 00:00:00,2011-07-07 00:00:00,SO43807,,10-4030-011611,11611
43808,2011-06-25 00:00:00,2011-07-07 00:00:00,SO43808,,10-4030-013259,13259
43809,2011-06-25 00:00:00,2011-07-07 00:00:00,SO43809,,10-4030-016350,16350
43810,2011-06-25 00:00:00,2011-07-07 00:00:00,SO43810,,10-4030-011004,11004
43811,2011-06-25 00:00:00,2011-07-07 00:00:00,SO43811,,10-4030-011026,11026
43812,2011-06-26 00:00:00,2011-07-08 00:00:00,SO43812,,10-4030-027662,27662
43813,2011-06-26 00:00:00,2011-07-08 00:00:00,SO43813,,10-4030-028390,28390
43814,2011-06-26 00:00:00,2011-07-08 00:00:00,SO43814,,10-4030-025866,25866
43815,2011-06-26 00:00:00,2011-07-08 00:00:00,SO43815,,10-4030-016494,16494
43816,2011-06-26 00:00:00,2011-07-08 00:00:00,SO43816,,10-4030-016496,16496
43817,2011-06-26 00:00:00,2011-07-08 00:00:00,SO43817,,10-4030-016519,16519
43818,2011-06-26 00:00:00,2011-07-08 00:00:00,SO43818,,10-4030-016528,16528
43819,2011-06-26 00:00:00,2011-07-08 00:00:00,SO43819,,10-4030-011006,11006
43820,2011-06-27 00:00:00,2011-07-09 00:00:00,SO43820,,10-4030-027651,27651
43821,2011-06-27 00:00:00,2011-07-09 00:00:00,SO43821,,10-4030-027663,27663
43822,2011-06-27 00:00:00,2011-07-09 00:00:00,SO43822,,10-4030-027669,27669
43823,2011-06-27 00:00:00,2011-07-09 00:00:00,SO43823,,10-4030-019942,19942
43824,2011-06-27 00:00:00,2011-07-09 00:00:00,SO43824,,10-4030-014558,14558
43825,2011-06-27 00:00:00,2011-07-09 00:00:00,SO43825,,10-4030-016349,16349
43826,2011-06-27 00:00:00,2011-07-09 00:00:00,SO43826,,10-4030-011008,11008
43827,2011-06-27 00:00:00,2011-07-09 00:00:00,SO43827,,10-4030-025250,25250
43828,2011-06-28 00:00:00,2011-07-10 00:00:00,SO43828,,10-4030-027605,27605
43829,2011-06-28 00:00:00,2011-07-10 00:00:00,SO43829,,10-4030-027611,27611
43830,2011-06-28 00:00:00,2011-07-10 00:00:00,SO43830,,10-4030-016347,16347
43831,2011-06-28 00:00:00,2011-07-10 00:00:00,SO43831,,10-4030-011028,11028
43832,2011-06-28 00:00:00,2011-07-10 00:00:00,SO43832,,10-4030-013584,13584
43833,2011-06-29 00:00:00,2011-07-11 00:00:00,SO43833,,10-4030-021727,21727
43834,2011-06-29 00:00:00,2011-07-11 00:00:00,SO43834,,10-4030-028393,28393
43835,2011-06-29 00:00:00,2011-07-11 00:00:00,SO43835,,10-4030-019802,19802
43836,2011-06-29 00:00:00,2011-07-11 00:00:00,SO43836,,10-4030-026620,26620
43837,2011-06-29 00:00:00,2011-07-11 00:00:00,SO43837,,10-4030-011009,11009
43838,2011-06-30 00:00:00,2011-07-12 00:00:00,SO43838,,10-4030-027641,27641
43839,2011-06-30 00:00:00,2011-07-12 00:00:00,SO43839,,10-4030-027673,27673
43840,2011-06-30 00:00:00,2011-07-12 00:00:00,SO43840,,10-4030-017957,17957
43841,2011-06-30 00:00:00,2011-07-12 00:00:00,SO43841,,10-4030-013406,13406
43842,2011-06-30 00:00:00,2011-07-12 00:00:00,SO43842,,10-4030-016630,16630
43843,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43843,PO19923118772,10-4020-000018,29955
43844,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43844,PO19691138342,10-4020-000353,29620
43845,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43845,PO19546184286,10-4020-000206,29888
43846,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43846,PO19430112391,10-4020-000318,29548
43847,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43847,PO19227161888,10-4020-000210,29539
43848,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43848,PO18908190536,10-4020-000164,29717
43849,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43849,PO18676186169,10-4020-000697,29818
43850,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43850,PO18415143340,10-4020-000191,29892
43851,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43851,PO18386167654,10-4020-000558,29509
43852,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43852,PO17864179720,10-4020-000568,29855
43853,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43853,PO18270155899,10-4020-000011,29813
43854,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43854,PO17777139245,10-4020-000208,29988
43855,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43855,PO17748116016,10-4020-000102,29946
43856,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43856,PO17313123131,10-4020-000389,29680
43857,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43857,PO16733124458,10-4020-000533,30074
43858,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43858,PO16791124272,10-4020-000036,29961
43859,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43859,PO16762199940,10-4020-000259,29865
43860,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43860,PO16646146654,10-4020-000001,29773
43861,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43861,PO16327172067,10-4020-000584,29749
43862,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43862,PO16211194171,10-4020-000099,29945
43863,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43863,PO15747169584,10-4020-000471,29764
43864,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43864,PO16037151094,10-4020-000384,30056
43865,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43865,PO15689147174,10-4020-000328,30117
43866,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43866,PO14529112624,10-4020-000289,29571
43867,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43867,PO14471123403,10-4020-000145,29582
43868,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43868,PO14848158712,10-4020-000478,30042
43869,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43869,PO14500145975,10-4020-000650,30107
43870,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43870,PO14326149236,10-4020-000107,29675
43871,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43871,PO13572145817,10-4020-000527,30076
43872,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43872,PO12557127067,10-4020-000240,30100
43873,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43873,PO12499138177,10-4020-000078,29703
43874,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43874,PO12122162917,10-4020-000022,29569
43875,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43875,PO12586178184,10-4020-000278,29624
43876,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43876,PO12006119347,10-4020-000270,30091
43877,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43877,PO11919119101,10-4020-000073,29925
43878,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43878,PO11716136854,10-4020-000144,29664
43879,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43879,PO11600128380,10-4020-000569,29510
43880,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43880,PO11020127453,10-4020-000336,29789
43881,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43881,PO10759119626,10-4020-000346,30111
43882,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43882,PO10469165208,10-4020-000335,29558
43883,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43883,PO10121175623,10-4020-000684,29724
43884,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43884,PO10440182311,10-4020-000623,29861
43885,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43885,PO609186449,10-4020-000492,29757
43886,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43886,PO1827149671,10-4020-000317,29698
43887,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43887,PO1276169981,10-4020-000548,29493
43888,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43888,PO2088113013,10-4020-000136,29794
43889,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43889,PO2030112412,10-4020-000661,29830
43890,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43890,PO2146115360,10-4020-000354,29515
43891,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43891,PO2726163521,10-4020-000029,29807
43892,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43892,PO2523117473,10-4020-000167,29716
43893,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43893,PO2204129382,10-4020-000370,29905
43894,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43894,PO2958194987,10-4020-000559,30004
43895,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43895,PO2900121738,10-4020-000469,29742
43896,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43896,PO3857154341,10-4020-000256,29866
43897,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43897,PO3799116239,10-4020-000312,29522
43898,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43898,PO4901196283,10-4020-000084,29705
43899,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43899,PO5191115657,10-4020-000364,29906
43900,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43900,PO5568199700,10-4020-000422,29880
43901,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43901,PO5684189260,10-4020-000385,29901
43902,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43902,PO5858178400,10-4020-000566,29507
43903,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43903,PO5800178059,10-4020-000063,29968
43904,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43904,PO6351158788,10-4020-000255,30095
43905,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43905,PO6293113391,10-4020-000612,29846
43906,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43906,PO6438197212,10-4020-000309,29523
43907,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43907,PO6641115253,10-4020-000342,29791
43908,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43908,PO6670111729,10-4020-000432,29731
43909,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43909,PO7221199520,10-4020-000326,29787
43910,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43910,PO7598186753,10-4020-000045,29963
43911,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43911,PO7627190040,10-4020-000433,29617
43912,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43912,PO7656175368,10-4020-000403,29853
43913,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43913,PO7830112696,10-4020-000040,29774
43914,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43914,PO7917120732,10-4020-000401,29521
43915,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43915,PO8932129717,10-4020-000287,29688
43916,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43916,PO8874186100,10-4020-000348,29511
43917,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43917,PO8816199739,10-4020-000218,29885
43918,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43918,,10-4030-022041,22041
43919,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43919,,10-4030-012124,12124
43920,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43920,,10-4030-028066,28066
43921,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43921,,10-4030-016743,16743
43922,2011-07-01 00:00:00,2011-07-13 00:00:00,SO43922,,10-4030-013546,13546
43923,2011-07-02 00:00:00,2011-07-14 00:00:00,SO43923,,10-4030-028018,28018
43924,2011-07-02 00:00:00,2011-07-14 00:00:00,SO43924,,10-4030-012132,12132
43925,2011-07-02 00:00:00,2011-07-14 00:00:00,SO43925,,10-4030-016661,16661
43926,2011-07-03 00:00:00,2011-07-15 00:00:00,SO43926,,10-4030-011055,11055
43927,2011-07-03 00:00:00,2011-07-15 00:00:00,SO43927,,10-4030-016662,16662
43928,2011-07-03 00:00:00,2011-07-15 00:00:00,SO43928,,10-4030-016740,16740
43929,2011-07-03 00:00:00,2011-07-15 00:00:00,SO43929,,10-4030-025270,25270
43930,2011-07-04 00:00:00,2011-07-16 00:00:00,SO43930,,10-4030-028038,28038
43931,2011-07-04 00:00:00,2011-07-16 00:00:00,SO43931,,10-4030-013548,13548
43932,2011-07-04 00:00:00,2011-07-16 00:00:00,SO43932,,10-4030-016741,16741
43933,2011-07-04 00:00:00,2011-07-16 00:00:00,SO43933,,10-4030-011031,11031
43934,2011-07-04 00:00:00,2011-07-16 00:00:00,SO43934,,10-4030-011034,11034
43935,2011-07-05 00:00:00,2011-07-17 00:00:00,SO43935,,10-4030-020048,20048
43936,2011-07-05 00:00:00,2011-07-17 00:00:00,SO43936,,10-4030-028065,28065
43937,2011-07-05 00:00:00,2011-07-17 00:00:00,SO43937,,10-4030-017047,17047
43938,2011-07-05 00:00:00,2011-07-17 00:00:00,SO43938,,10-4030-016686,16686
43939,2011-07-05 00:00:00,2011-07-17 00:00:00,SO43939,,10-4030-016659,16659
43940,2011-07-05 00:00:00,2011-07-17 00:00:00,SO43940,,10-4030-025294,25294
43941,2011-07-06 00:00:00,2011-07-18 00:00:00,SO43941,,10-4030-013600,13600
43942,2011-07-06 00:00:00,2011-07-18 00:00:00,SO43942,,10-4030-017051,17051
43943,2011-07-06 00:00:00,2011-07-18 00:00:00,SO43943,,10-4030-014565,14565
43944,2011-07-06 00:00:00,2011-07-18 00:00:00,SO43944,,10-4030-011054,11054
43945,2011-07-06 00:00:00,2011-07-18 00:00:00,SO43945,,10-4030-016675,16675
